Algorithm,Best Distance (km),Execution Time (s),Distance Score,Speed Score,Overall Score
Simulated Annealing,72523.61612937551,0.006232023239135742,77.31867522875983,100.0,84.12307266013187
Genetic Algorithm,56074.29921922433,4.472558498382568,100.0,0.13933911074364835,70.0418017332231
Tabu Search,56620.6497249166,0.6173601150512695,99.0350684629254,1.00946321072559,69.62738688726546
Particle Swarm Optimization,106204.2457709989,0.02082967758178711,52.79854756478718,29.918961609779547,45.93467177828489
